Inicio: 22/11/2023 12:44:28,94 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: simple-imagens.txt
22/11/2023 12:44:28,94 138713
22/11/2023 12:44:34,21 137854
22/11/2023 12:44:40,19 137203
22/11/2023 12:44:46,19 136626
22/11/2023 12:44:51,12 136592
22/11/2023 12:44:56,18 136624
22/11/2023 12:45:02,18 136600
22/11/2023 12:45:07,11 136849
22/11/2023 12:45:12,21 135460
22/11/2023 12:45:17,11 135480
22/11/2023 12:45:22,12 135464
22/11/2023 12:45:27,21 135488
22/11/2023 12:45:33,15 135476
22/11/2023 12:45:39,24 135484
22/11/2023 12:45:46,17 135476
22/11/2023 12:45:51,15 135749
22/11/2023 12:45:57,11 135737
22/11/2023 12:46:02,17 136041
22/11/2023 12:46:07,22 135162
22/11/2023 12:46:13,12 135190
22/11/2023 12:46:18,19 135166
22/11/2023 12:46:23,14 135382
22/11/2023 12:46:29,11 134558
22/11/2023 12:46:35,16 133732
22/11/2023 12:46:40,20 130263
22/11/2023 12:46:46,13 130371
22/11/2023 12:46:51,14 130798
22/11/2023 12:46:56,18 131138
22/11/2023 12:47:01,20 130853
22/11/2023 12:47:07,20 130848
22/11/2023 12:47:10,69 130795
22/11/2023 12:47:16,19 130334
22/11/2023 12:47:21,22 130386
22/11/2023 12:47:27,13 130342
22/11/2023 12:47:32,20 129972
22/11/2023 12:47:38,17 128570
22/11/2023 12:47:43,21 128586
22/11/2023 12:47:49,12 128534
22/11/2023 12:47:55,17 128432
22/11/2023 12:48:00,17 128396
22/11/2023 12:48:05,15 128316
22/11/2023 12:48:10,18 128124
22/11/2023 12:48:15,13 128134
22/11/2023 12:48:20,18 128050
22/11/2023 12:48:25,20 128070
22/11/2023 12:48:31,13 128058
22/11/2023 12:48:36,12 128070
22/11/2023 12:48:41,11 128054
22/11/2023 12:48:46,15 127901
22/11/2023 12:48:51,18 126931
22/11/2023 12:48:56,14 117805
22/11/2023 12:49:01,19 117793
22/11/2023 12:49:06,13 117781
22/11/2023 12:49:12,14 118005
22/11/2023 12:49:17,21 117973
22/11/2023 12:49:23,25 118021
22/11/2023 12:49:29,14 117987
22/11/2023 12:49:34,20 117995
22/11/2023 12:49:40,16 117742
22/11/2023 12:49:45,20 117731
22/11/2023 12:49:51,21 118166
22/11/2023 12:49:57,12 115710
22/11/2023 12:50:02,16 115702
22/11/2023 12:50:07,21 115717
22/11/2023 12:50:13,13 115716
22/11/2023 12:50:18,19 115732
22/11/2023 12:50:24,22 115764
22/11/2023 12:50:30,14 115696
22/11/2023 12:50:35,15 115676
22/11/2023 12:50:40,20 114369
22/11/2023 12:50:46,12 114353
22/11/2023 12:50:51,12 114384
22/11/2023 12:50:56,21 114364
22/11/2023 12:51:02,21 114387
22/11/2023 12:51:08,12 114383
22/11/2023 12:51:13,18 114379
22/11/2023 12:51:19,14 114371
22/11/2023 12:51:25,19 114379
22/11/2023 12:51:31,20 114843
22/11/2023 12:51:36,14 114383
22/11/2023 12:51:41,21 114379
22/11/2023 12:51:47,13 114395
22/11/2023 12:51:52,18 114379
22/11/2023 12:51:57,19 114398
22/11/2023 12:52:02,20 114347
22/11/2023 12:52:07,19 114394
22/11/2023 12:52:12,16 114395
22/11/2023 12:52:17,15 114380
22/11/2023 12:52:22,11 114396
22/11/2023 12:52:27,14 114428
22/11/2023 12:52:32,21 114412
22/11/2023 12:52:38,16 114436
22/11/2023 12:52:43,20 106214
22/11/2023 12:52:49,22 106384
22/11/2023 12:52:55,13 106065
22/11/2023 12:53:00,12 105828
22/11/2023 12:53:05,20 105801
22/11/2023 12:53:11,15 105893
