Inicio: 22/11/2023 14:50:35,02 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 60 min - Log: simple-videos.txt
22/11/2023 14:50:35,03 118758
22/11/2023 14:50:41,12 118432
22/11/2023 14:50:46,12 118436
22/11/2023 14:50:52,12 121798
22/11/2023 14:50:57,20 118812
22/11/2023 14:51:03,15 118996
22/11/2023 14:51:08,20 120543
22/11/2023 14:51:14,12 117939
22/11/2023 14:51:19,21 117591
22/11/2023 14:51:25,16 120192
22/11/2023 14:51:31,13 118460
22/11/2023 14:51:37,15 121483
22/11/2023 14:51:43,12 119315
22/11/2023 14:51:49,18 118979
22/11/2023 14:51:55,18 118527
22/11/2023 14:52:01,14 118495
22/11/2023 14:52:06,18 121965
22/11/2023 14:52:12,22 119133
22/11/2023 14:52:18,20 119009
22/11/2023 14:52:24,21 120810
22/11/2023 14:52:30,11 117992
22/11/2023 14:52:35,19 119836
22/11/2023 14:52:41,20 118560
22/11/2023 14:52:47,15 121768
22/11/2023 14:52:53,19 119281
22/11/2023 14:52:59,19 119332
22/11/2023 14:53:05,19 118712
22/11/2023 14:53:11,19 118552
22/11/2023 14:53:17,15 121710
22/11/2023 14:53:23,20 119300
22/11/2023 14:53:29,22 119300
22/11/2023 14:53:35,21 120820
22/11/2023 14:53:41,13 118164
22/11/2023 14:53:47,19 117972
22/11/2023 14:53:53,18 120351
22/11/2023 14:53:59,21 118730
22/11/2023 14:54:05,20 121844
22/11/2023 14:54:11,14 119684
22/11/2023 14:54:17,20 119368
22/11/2023 14:54:23,12 118892
22/11/2023 14:54:28,25 118892
22/11/2023 14:54:34,19 122345
22/11/2023 14:54:40,13 119517
22/11/2023 14:54:46,21 119371
22/11/2023 14:54:52,20 121147
22/11/2023 14:54:58,22 118368
22/11/2023 14:55:04,11 120323
22/11/2023 14:55:09,12 118759
22/11/2023 14:55:15,20 121647
22/11/2023 14:55:21,19 119755
22/11/2023 14:55:27,20 119735
22/11/2023 14:55:33,18 119163
