Inicio: 22/11/2023 16:55:05,55 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync.txt
22/11/2023 16:55:05,55 157361
22/11/2023 16:55:16,17 153713
22/11/2023 16:55:27,11 154180
22/11/2023 16:55:38,18 155302
22/11/2023 16:55:49,15 154565
22/11/2023 16:56:00,21 129611
22/11/2023 16:56:11,20 116422
22/11/2023 16:56:22,13 118280
22/11/2023 16:56:32,20 116076
22/11/2023 16:56:43,12 116780
22/11/2023 16:56:53,18 117829
22/11/2023 16:57:04,15 117780
22/11/2023 16:57:14,15 117236
22/11/2023 16:57:25,21 115371
22/11/2023 16:57:36,18 115921
22/11/2023 16:57:47,21 111715
22/11/2023 16:57:58,13 112059
22/11/2023 16:58:09,21 113227
22/11/2023 16:58:20,20 112797
22/11/2023 16:58:31,13 111820
22/11/2023 16:58:42,18 112073
22/11/2023 16:58:53,12 113076
22/11/2023 16:59:04,13 111089
22/11/2023 16:59:14,21 111827
22/11/2023 16:59:25,13 111197
22/11/2023 16:59:36,17 111415
22/11/2023 16:59:47,17 113023
22/11/2023 16:59:58,15 112906
22/11/2023 17:00:09,13 116753
22/11/2023 17:00:20,16 78949
22/11/2023 17:00:31,20 75153
22/11/2023 17:00:42,21 75121
22/11/2023 17:00:53,20 115627
22/11/2023 17:01:04,18 116370
22/11/2023 17:01:15,16 115798
22/11/2023 17:01:26,19 114160
22/11/2023 17:01:37,16 115289
22/11/2023 17:01:48,14 116545
22/11/2023 17:01:59,21 116525
22/11/2023 17:02:06,34 112806
22/11/2023 17:02:17,17 101980
22/11/2023 17:02:28,16 127503
22/11/2023 17:02:39,16 126660
22/11/2023 17:02:50,19 127575
22/11/2023 17:03:01,19 128780
22/11/2023 17:03:12,14 128633
22/11/2023 17:03:22,16 126684
22/11/2023 17:03:33,15 127670
22/11/2023 17:03:44,16 126393
22/11/2023 17:03:55,13 125979
22/11/2023 17:04:06,20 126405
22/11/2023 17:04:17,16 127589
22/11/2023 17:04:28,21 127593
22/11/2023 17:04:39,16 127017
22/11/2023 17:04:50,16 126550
22/11/2023 17:05:01,13 127737
22/11/2023 17:05:12,21 125695
22/11/2023 17:05:23,14 126519
22/11/2023 17:05:34,15 127637
22/11/2023 17:05:45,20 120424
22/11/2023 17:05:56,17 119544
22/11/2023 17:06:07,13 119041
22/11/2023 17:06:18,20 120013
22/11/2023 17:06:29,13 117622
22/11/2023 17:06:39,18 117933
22/11/2023 17:06:50,17 119265
22/11/2023 17:07:01,22 119189
22/11/2023 17:07:12,15 118815
22/11/2023 17:07:23,17 118591
22/11/2023 17:07:34,12 116353
22/11/2023 17:07:45,13 82377
22/11/2023 17:07:55,13 78714
22/11/2023 17:08:05,21 78686
22/11/2023 17:08:16,19 118040
22/11/2023 17:08:27,12 118882
22/11/2023 17:08:37,18 117041
22/11/2023 17:08:48,15 115542
22/11/2023 17:08:58,18 116811
22/11/2023 17:09:09,19 116436
22/11/2023 17:09:20,20 117564
22/11/2023 17:09:31,18 117318
22/11/2023 17:09:42,21 118425
22/11/2023 17:09:53,15 116922
22/11/2023 17:10:04,21 115593
22/11/2023 17:10:15,20 116271
22/11/2023 17:10:26,19 117630
22/11/2023 17:10:37,17 117585
22/11/2023 17:10:48,16 117988
22/11/2023 17:10:59,12 118778
22/11/2023 17:11:10,11 117778
22/11/2023 17:11:20,17 116144
22/11/2023 17:11:31,12 117040
22/11/2023 17:11:41,21 118064
22/11/2023 17:11:52,13 118216
22/11/2023 17:12:02,19 118562
22/11/2023 17:12:13,14 118272
22/11/2023 17:12:24,18 116219
22/11/2023 17:12:35,16 114713
22/11/2023 17:12:46,19 115554
22/11/2023 17:12:57,21 116766
