Inicio: 24/11/2023 15:55:42,45 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop.txt
24/11/2023 15:55:42,46 122613
24/11/2023 15:55:53,22 125450
24/11/2023 15:56:04,13 126351
24/11/2023 15:56:15,19 126443
24/11/2023 15:56:26,13 136254
24/11/2023 15:56:37,21 111588
24/11/2023 15:56:48,15 117193
24/11/2023 15:56:59,16 125262
24/11/2023 15:57:10,12 125255
24/11/2023 15:57:21,20 127552
24/11/2023 15:57:32,19 126850
24/11/2023 15:57:43,19 127323
24/11/2023 15:57:54,12 126839
24/11/2023 15:58:05,12 128149
24/11/2023 15:58:16,12 128058
24/11/2023 15:58:27,15 136013
24/11/2023 15:58:38,18 110371
24/11/2023 15:58:49,20 124679
24/11/2023 15:58:56,38 125412
24/11/2023 15:59:07,19 126313
24/11/2023 15:59:18,18 92632
24/11/2023 15:59:29,19 130108
24/11/2023 15:59:40,19 130011
24/11/2023 15:59:51,22 126131
24/11/2023 16:00:02,21 126945
24/11/2023 16:00:13,16 128287
24/11/2023 16:00:24,18 127911
24/11/2023 16:00:35,11 135004
24/11/2023 16:00:46,16 100609
24/11/2023 16:00:57,21 124112
24/11/2023 16:01:08,12 126062
24/11/2023 16:01:19,21 125602
24/11/2023 16:01:30,14 123933
24/11/2023 16:01:41,12 127107
24/11/2023 16:01:52,20 128437
24/11/2023 16:02:03,13 126327
24/11/2023 16:02:14,19 126864
24/11/2023 16:02:25,18 127816
24/11/2023 16:02:36,19 134199
24/11/2023 16:02:47,20 99566
24/11/2023 16:02:58,16 100750
24/11/2023 16:03:09,21 124863
24/11/2023 16:03:20,20 92284
24/11/2023 16:03:31,22 124908
24/11/2023 16:03:42,14 124609
24/11/2023 16:03:53,21 123763
24/11/2023 16:04:04,25 109831
24/11/2023 16:04:15,16 119825
24/11/2023 16:04:26,12 120982
24/11/2023 16:04:37,21 120970
24/11/2023 16:04:48,11 120570
24/11/2023 16:04:59,13 102190
24/11/2023 16:05:10,13 120480
24/11/2023 16:05:21,15 122695
24/11/2023 16:05:32,14 122316
24/11/2023 16:05:43,13 123371
24/11/2023 16:05:54,21 123515
24/11/2023 16:06:05,15 124654
24/11/2023 16:06:16,14 122763
24/11/2023 16:06:27,20 108103
24/11/2023 16:06:38,16 109075
24/11/2023 16:06:49,16 132239
24/11/2023 16:07:00,13 105858
