Inicio: 24/11/2023 23:16:49,87 - App: com.cleversystems.s3panelTv - Intervalo: 3 seg - Duracao: 3 min - Log: pequenos-videos-rodando.txt
24/11/2023 23:16:49,87 110177
24/11/2023 23:16:53,17 109971
24/11/2023 23:16:57,20 109575
24/11/2023 23:17:01,14 109343
24/11/2023 23:17:05,19 110199
24/11/2023 23:17:09,17 109471
24/11/2023 23:17:13,18 109936
24/11/2023 23:17:17,19 109888
24/11/2023 23:17:21,21 109761
24/11/2023 23:17:25,17 110279
24/11/2023 23:17:29,19 109399
24/11/2023 23:17:33,13 109957
24/11/2023 23:17:37,21 109967
24/11/2023 23:17:41,21 109403
24/11/2023 23:17:45,13 110229
24/11/2023 23:17:49,21 109975
24/11/2023 23:17:53,18 109949
24/11/2023 23:17:57,12 109932
24/11/2023 23:18:01,22 109472
24/11/2023 23:18:05,12 110186
24/11/2023 23:18:09,11 109818
24/11/2023 23:18:12,17 109394
24/11/2023 23:18:16,17 110320
24/11/2023 23:18:20,16 109988
24/11/2023 23:18:24,17 109956
24/11/2023 23:18:28,15 109916
24/11/2023 23:18:32,15 109430
24/11/2023 23:18:36,12 109641
24/11/2023 23:18:40,23 109697
24/11/2023 23:18:44,19 110015
24/11/2023 23:18:48,15 109811
24/11/2023 23:18:52,17 109899
24/11/2023 23:18:56,16 110253
