Inicio: 24/11/2023 13:21:27,99 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: videos-pequenos.txt
24/11/2023 13:21:28,00 136455
24/11/2023 13:21:34,20 123320
24/11/2023 13:21:40,14 122856
24/11/2023 13:21:45,15 129185
24/11/2023 13:21:50,17 128965
24/11/2023 13:21:55,11 129251
24/11/2023 13:22:00,14 129161
24/11/2023 13:22:05,21 129548
24/11/2023 13:22:11,11 129176
24/11/2023 13:22:17,22 129355
24/11/2023 13:22:23,16 128861
24/11/2023 13:22:28,14 107022
24/11/2023 13:22:34,14 101222
24/11/2023 13:22:40,16 106572
24/11/2023 13:22:45,22 110317
24/11/2023 13:22:51,17 110197
24/11/2023 13:22:57,14 110369
24/11/2023 13:23:03,20 110527
24/11/2023 13:23:09,16 110637
24/11/2023 13:23:14,14 109505
24/11/2023 13:23:20,20 110695
24/11/2023 13:23:25,19 111127
24/11/2023 13:23:31,16 111353
24/11/2023 13:23:37,20 111557
24/11/2023 13:23:43,15 111001
24/11/2023 13:23:48,21 111482
24/11/2023 13:23:54,19 110686
24/11/2023 13:24:00,15 111741
24/11/2023 13:24:06,20 111768
24/11/2023 13:24:12,13 111294
24/11/2023 13:24:17,19 111568
24/11/2023 13:24:23,18 109769
24/11/2023 13:24:29,15 105812
24/11/2023 13:24:35,18 95697
24/11/2023 13:24:41,16 105106
24/11/2023 13:24:47,15 105165
24/11/2023 13:24:52,12 106339
24/11/2023 13:24:57,16 97790
24/11/2023 13:25:03,14 98610
24/11/2023 13:25:09,19 108579
24/11/2023 13:25:15,14 107775
24/11/2023 13:25:20,22 109982
24/11/2023 13:25:26,16 109697
24/11/2023 13:25:31,21 109812
24/11/2023 13:25:37,22 110649
24/11/2023 13:25:43,17 110195
24/11/2023 13:25:48,22 111719
24/11/2023 13:25:54,14 111299
24/11/2023 13:26:00,21 105264
24/11/2023 13:26:06,20 75166
24/11/2023 13:26:12,20 111740
24/11/2023 13:26:18,16 111777
24/11/2023 13:26:23,22 111471
24/11/2023 13:26:29,22 112169
24/11/2023 13:26:35,21 112029
24/11/2023 13:26:41,12 112444
24/11/2023 13:26:46,21 111356
24/11/2023 13:26:52,20 112751
24/11/2023 13:26:58,15 112812
24/11/2023 13:27:03,15 112836
24/11/2023 13:27:08,20 113317
24/11/2023 13:27:14,14 112933
24/11/2023 13:27:20,15 113693
24/11/2023 13:27:26,21 113009
24/11/2023 13:27:31,15 114473
24/11/2023 13:27:37,16 72339
24/11/2023 13:27:43,20 108286
24/11/2023 13:27:49,15 108901
24/11/2023 13:27:55,17 108673
24/11/2023 13:28:00,17 109299
24/11/2023 13:28:06,17 109003
24/11/2023 13:28:12,20 108694
24/11/2023 13:28:18,22 108645
24/11/2023 13:28:24,13 109094
24/11/2023 13:28:29,14 109363
24/11/2023 13:28:34,18 109375
24/11/2023 13:28:40,13 109343
24/11/2023 13:28:45,13 108670
24/11/2023 13:28:50,21 109427
24/11/2023 13:28:56,20 108971
24/11/2023 13:29:01,23 109885
24/11/2023 13:29:07,20 109540
24/11/2023 13:29:13,15 110329
24/11/2023 13:29:19,21 110069
24/11/2023 13:29:25,21 109981
24/11/2023 13:29:31,16 110831
24/11/2023 13:29:37,18 110502
24/11/2023 13:29:43,22 111400
24/11/2023 13:29:49,19 111030
24/11/2023 13:29:55,22 110980
24/11/2023 13:30:01,16 111360
24/11/2023 13:30:07,14 111304
24/11/2023 13:30:12,14 111494
24/11/2023 13:30:17,16 110690
24/11/2023 13:30:22,18 111525
24/11/2023 13:30:28,15 110965
24/11/2023 13:30:33,13 112347
24/11/2023 13:30:38,11 111767
24/11/2023 13:30:43,20 112366
