Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 02:16:57,30 121420
25/11/2023 02:17:03,12 122127
25/11/2023 02:17:09,17 121022
25/11/2023 02:17:15,13 129129
25/11/2023 02:17:20,15 128875
25/11/2023 02:17:26,15 131855
25/11/2023 02:17:32,11 129250
25/11/2023 02:17:38,17 159461
25/11/2023 02:17:44,24 157873
25/11/2023 02:17:50,18 149676
25/11/2023 02:17:56,15 149600
25/11/2023 02:18:02,16 149748
25/11/2023 02:18:08,27 137921
25/11/2023 02:18:14,14 136378
25/11/2023 02:18:19,15 121382
25/11/2023 02:18:24,16 121508
25/11/2023 02:18:30,17 119630
25/11/2023 02:18:36,13 114817
25/11/2023 02:18:41,13 121066
25/11/2023 02:18:46,11 121198
25/11/2023 02:18:51,11 111998
25/11/2023 02:18:56,17 112205
25/11/2023 02:19:01,13 112270
25/11/2023 02:19:06,11 110014
25/11/2023 02:19:12,11 109955
25/11/2023 02:19:18,17 117238
25/11/2023 02:19:24,19 117329
25/11/2023 02:19:30,19 117216
25/11/2023 02:19:36,21 122077
25/11/2023 02:19:42,18 129628
25/11/2023 02:19:48,12 127921
25/11/2023 02:19:53,15 127527
25/11/2023 02:19:59,20 127671
25/11/2023 02:20:05,11 127699
25/11/2023 02:20:10,13 127559
25/11/2023 02:20:15,17 130006
25/11/2023 02:20:21,21 132034
25/11/2023 02:20:27,12 118902
25/11/2023 02:20:33,16 119041
25/11/2023 02:20:39,21 119334
25/11/2023 02:20:45,19 111506
25/11/2023 02:20:51,11 121730
25/11/2023 02:20:57,11 108045
25/11/2023 02:21:02,11 100648
25/11/2023 02:21:07,12 96237
25/11/2023 02:21:13,12 97340
25/11/2023 02:21:18,12 97134
25/11/2023 02:21:23,16 108171
25/11/2023 02:21:29,19 105377
25/11/2023 02:21:35,16 105352
25/11/2023 02:21:41,21 116418
25/11/2023 02:21:47,14 102046
25/11/2023 02:21:53,15 100183
25/11/2023 02:21:59,16 100166
25/11/2023 02:22:05,15 100196
25/11/2023 02:22:11,13 100232
25/11/2023 02:22:16,17 100034
25/11/2023 02:22:22,17 117212
25/11/2023 02:22:28,19 86923
25/11/2023 02:22:34,27 87295
25/11/2023 02:22:40,18 86350
25/11/2023 02:22:46,21 89555
25/11/2023 02:22:52,19 75958
25/11/2023 02:22:58,14 76685
25/11/2023 02:23:03,16 77446
25/11/2023 02:23:09,17 77706
25/11/2023 02:23:14,16 114803
25/11/2023 02:23:20,14 115113
25/11/2023 02:23:26,21 115136
25/11/2023 02:23:32,17 84617
25/11/2023 02:23:38,21 81313
25/11/2023 02:23:44,22 85119
25/11/2023 02:23:50,12 82460
25/11/2023 02:23:55,15 107375
25/11/2023 02:24:01,20 105828
25/11/2023 02:24:07,19 105842
25/11/2023 02:24:13,15 105798
25/11/2023 02:24:18,17 105706
25/11/2023 02:24:24,21 91846
25/11/2023 02:24:30,17 92469
25/11/2023 02:24:36,20 87729
25/11/2023 02:24:42,12 88189
25/11/2023 02:24:47,20 88115
25/11/2023 02:24:53,23 96524
25/11/2023 02:24:59,13 81022
25/11/2023 02:25:04,16 80615
25/11/2023 02:25:10,16 85476
25/11/2023 02:25:16,18 85300
25/11/2023 02:25:22,17 81366
25/11/2023 02:25:28,17 81332
25/11/2023 02:25:34,15 87620
25/11/2023 02:25:39,15 84576
25/11/2023 02:25:45,15 84700
25/11/2023 02:25:50,14 89320
25/11/2023 02:25:56,24 86813
25/11/2023 02:26:02,17 86270
25/11/2023 02:26:08,28 84387
25/11/2023 02:26:14,13 84315
25/11/2023 02:26:19,20 84212
25/11/2023 02:26:25,15 84358
25/11/2023 02:26:31,18 98045
25/11/2023 02:26:37,21 98557
25/11/2023 02:26:43,17 95478
25/11/2023 02:26:49,12 95692
25/11/2023 02:26:54,16 84456
25/11/2023 02:27:00,13 92743
25/11/2023 02:27:05,16 95767
25/11/2023 02:27:11,20 95634
25/11/2023 02:27:17,15 86630
25/11/2023 02:27:23,15 86083
25/11/2023 02:27:28,17 98482
25/11/2023 02:27:34,12 98286
25/11/2023 02:27:39,20 98150
25/11/2023 02:27:45,15 90794
25/11/2023 02:27:51,18 87812
25/11/2023 02:27:57,19 94176
25/11/2023 02:28:03,16 91583
25/11/2023 02:28:09,20 85000
25/11/2023 02:28:15,13 83184
25/11/2023 02:28:20,21 82877
25/11/2023 02:28:26,21 83038
25/11/2023 02:28:32,19 83020
25/11/2023 02:28:38,21 93883
