Inicio: 24/11/2023 23:57:16,41 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: keypropflag.txt
24/11/2023 23:57:16,42 123401
24/11/2023 23:57:22,18 121800
24/11/2023 23:57:35,18 121055
24/11/2023 23:58:19,17 159144
24/11/2023 23:58:25,12 161109
24/11/2023 23:58:30,16 160644
24/11/2023 23:58:36,20 160857
24/11/2023 23:58:42,14 165535
24/11/2023 23:58:48,19 162251
24/11/2023 23:58:54,14 163571
24/11/2023 23:59:00,16 160925
24/11/2023 23:59:06,18 161734
24/11/2023 23:59:12,11 160058
24/11/2023 23:59:18,17 151920
24/11/2023 23:59:24,18 151945
24/11/2023 23:59:30,22 151973
24/11/2023 23:59:36,19 162061
24/11/2023 23:59:42,17 161327
24/11/2023 23:59:48,19 135535
24/11/2023 23:59:54,13 135860
25/11/2023 00:00:00,15 153821
25/11/2023 00:00:06,17 149149
25/11/2023 00:00:12,17 151243
25/11/2023 00:00:18,20 114858
25/11/2023 00:00:24,17 151330
25/11/2023 00:00:30,12 152862
25/11/2023 00:00:36,16 153031
25/11/2023 00:00:42,21 152982
25/11/2023 00:00:48,14 157731
25/11/2023 00:00:54,14 154763
25/11/2023 00:01:00,19 156424
25/11/2023 00:01:06,13 153511
25/11/2023 00:01:12,17 156017
25/11/2023 00:01:18,19 154349
25/11/2023 00:01:24,13 154317
25/11/2023 00:01:30,16 154313
25/11/2023 00:01:36,20 154357
25/11/2023 00:01:42,13 161832
25/11/2023 00:01:48,20 161667
25/11/2023 00:01:54,15 135805
25/11/2023 00:02:00,20 135909
25/11/2023 00:02:06,13 155680
25/11/2023 00:02:12,15 150697
25/11/2023 00:02:18,17 150784
25/11/2023 00:02:24,19 76085
25/11/2023 00:02:30,15 116455
25/11/2023 00:02:35,17 117269
25/11/2023 00:02:41,19 117389
25/11/2023 00:02:47,20 117206
25/11/2023 00:02:53,14 122414
25/11/2023 00:02:59,19 119547
25/11/2023 00:03:05,14 121208
25/11/2023 00:03:11,16 118454
25/11/2023 00:03:17,21 119003
25/11/2023 00:03:23,17 117308
25/11/2023 00:03:29,18 117314
25/11/2023 00:03:35,14 117366
25/11/2023 00:03:41,12 117366
25/11/2023 00:03:47,17 127919
25/11/2023 00:03:53,13 128232
25/11/2023 00:03:59,17 101578
25/11/2023 00:04:05,17 101846
25/11/2023 00:04:11,14 122015
25/11/2023 00:04:17,19 116895
25/11/2023 00:04:23,12 119055
25/11/2023 00:04:29,16 118396
25/11/2023 00:04:35,14 119977
25/11/2023 00:04:40,13 118899
25/11/2023 00:04:45,14 123650
25/11/2023 00:04:51,19 122621
25/11/2023 00:04:57,22 124008
25/11/2023 00:05:03,17 121151
25/11/2023 00:05:09,12 121006
25/11/2023 00:05:15,17 123187
25/11/2023 00:05:21,19 117817
25/11/2023 00:05:27,22 121199
25/11/2023 00:05:33,16 121224
25/11/2023 00:05:39,14 121244
25/11/2023 00:05:45,17 121312
25/11/2023 00:05:51,17 84162
25/11/2023 00:05:57,21 132384
25/11/2023 00:06:03,18 104294
25/11/2023 00:06:09,20 105179
25/11/2023 00:06:15,20 105428
25/11/2023 00:06:21,21 126897
25/11/2023 00:06:27,12 120637
25/11/2023 00:06:33,16 120294
25/11/2023 00:06:38,16 122060
25/11/2023 00:06:44,21 122465
25/11/2023 00:06:50,21 123546
25/11/2023 00:06:56,13 123466
25/11/2023 00:07:02,15 126710
25/11/2023 00:07:08,20 123798
25/11/2023 00:07:14,17 123801
25/11/2023 00:07:20,18 127210
25/11/2023 00:07:26,25 123935
25/11/2023 00:07:32,11 124540
25/11/2023 00:07:38,22 122659
25/11/2023 00:07:44,14 122559
25/11/2023 00:07:50,16 122520
25/11/2023 00:07:56,17 122585
25/11/2023 00:08:02,22 133059
25/11/2023 00:08:08,17 104536
25/11/2023 00:08:14,15 105551
25/11/2023 00:08:20,19 105632
25/11/2023 00:08:26,13 125711
25/11/2023 00:08:32,15 120551
25/11/2023 00:08:37,14 122730
25/11/2023 00:08:42,16 121681
25/11/2023 00:08:48,18 121050
25/11/2023 00:08:54,15 123342
25/11/2023 00:09:00,19 123674
25/11/2023 00:09:06,20 123616
