Inicio: 25/11/2023  1:07:58,18 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: keypropflag2.txt
25/11/2023 01:07:58,18 136731
25/11/2023 01:08:04,19 137286
25/11/2023 01:08:10,18 133954
25/11/2023 01:08:16,14 134020
25/11/2023 01:08:22,12 131331
25/11/2023 01:08:28,14 135519
25/11/2023 01:08:34,19 133847
25/11/2023 01:08:40,13 133811
25/11/2023 01:08:46,13 133786
25/11/2023 01:08:52,20 133807
25/11/2023 01:08:58,15 143204
25/11/2023 01:09:04,19 130741
25/11/2023 01:09:10,15 117798
25/11/2023 01:09:16,18 117942
25/11/2023 01:09:22,21 137616
25/11/2023 01:09:28,21 132372
25/11/2023 01:09:34,15 133108
25/11/2023 01:09:40,22 132549
25/11/2023 01:09:46,19 132693
25/11/2023 01:09:52,19 133921
25/11/2023 01:09:58,20 133960
25/11/2023 01:10:04,14 133712
25/11/2023 01:10:10,14 136777
25/11/2023 01:10:16,19 133729
25/11/2023 01:10:22,21 135607
25/11/2023 01:10:28,16 132953
25/11/2023 01:10:34,14 137633
25/11/2023 01:10:40,15 135985
25/11/2023 01:10:46,14 135921
25/11/2023 01:10:52,21 135893
25/11/2023 01:10:58,16 135901
25/11/2023 01:11:04,13 145131
25/11/2023 01:11:10,21 111115
25/11/2023 01:11:16,15 119020
25/11/2023 01:11:22,14 118920
25/11/2023 01:11:28,15 138593
25/11/2023 01:11:34,15 133409
25/11/2023 01:11:40,12 133867
25/11/2023 01:11:46,19 133487
25/11/2023 01:11:52,14 133604
25/11/2023 01:11:58,14 134732
25/11/2023 01:12:04,21 134841
25/11/2023 01:12:10,16 134679
25/11/2023 01:12:16,19 139351
25/11/2023 01:12:22,15 136350
25/11/2023 01:12:28,15 137814
25/11/2023 01:12:34,16 135176
25/11/2023 01:12:40,16 137255
25/11/2023 01:12:46,15 135543
25/11/2023 01:12:52,15 135557
25/11/2023 01:12:58,17 135492
25/11/2023 01:13:04,14 135450
25/11/2023 01:13:10,14 145103
25/11/2023 01:13:16,12 145343
25/11/2023 01:13:22,20 132634
25/11/2023 01:13:28,18 119816
25/11/2023 01:13:34,20 139436
25/11/2023 01:13:40,19 134349
25/11/2023 01:13:46,19 134651
25/11/2023 01:13:52,16 134237
25/11/2023 01:13:58,13 134455
25/11/2023 01:14:04,19 135518
25/11/2023 01:14:10,19 135587
25/11/2023 01:14:16,22 135878
25/11/2023 01:14:22,16 140885
25/11/2023 01:14:28,18 137748
25/11/2023 01:14:34,18 137696
25/11/2023 01:14:40,13 134991
25/11/2023 01:14:46,16 137300
25/11/2023 01:14:52,20 135614
25/11/2023 01:14:58,15 135543
25/11/2023 01:15:04,18 135543
25/11/2023 01:15:10,20 135538
25/11/2023 01:15:16,21 146515
25/11/2023 01:15:22,18 146787
25/11/2023 01:15:28,13 120663
25/11/2023 01:15:34,13 121312
25/11/2023 01:15:40,22 141121
25/11/2023 01:15:46,21 136105
25/11/2023 01:15:52,12 136582
25/11/2023 01:15:58,20 136244
25/11/2023 01:16:04,16 136399
25/11/2023 01:16:10,14 139253
25/11/2023 01:16:16,19 139380
