Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 13:00:20,53 118947
26/11/2023 13:00:25,49 122264
26/11/2023 13:00:36,15 119970
26/11/2023 13:00:47,23 121308
26/11/2023 13:00:58,16 121296
26/11/2023 13:01:09,16 130962
26/11/2023 13:01:20,22 105049
26/11/2023 13:01:31,12 125518
26/11/2023 13:01:42,11 120738
26/11/2023 13:01:53,19 120396
26/11/2023 13:02:04,22 123412
26/11/2023 13:02:15,16 122415
26/11/2023 13:02:26,14 122924
26/11/2023 13:02:37,20 120216
26/11/2023 13:02:48,16 120861
26/11/2023 13:02:59,18 121966
26/11/2023 13:03:10,16 130922
26/11/2023 13:03:21,16 97347
26/11/2023 13:03:32,19 96720
26/11/2023 13:03:43,19 119918
26/11/2023 13:03:54,20 113930
26/11/2023 13:04:05,17 117410
26/11/2023 13:04:16,16 118907
26/11/2023 13:04:27,13 117900
26/11/2023 13:04:38,14 116103
26/11/2023 13:04:49,17 116826
26/11/2023 13:05:00,12 118005
26/11/2023 13:05:10,16 117865
26/11/2023 13:05:21,13 128475
26/11/2023 13:05:32,14 101727
26/11/2023 13:05:43,21 120807
26/11/2023 13:05:54,21 116306
26/11/2023 13:06:05,22 116035
26/11/2023 13:06:16,15 118255
26/11/2023 13:06:26,12 121692
26/11/2023 13:06:37,20 118404
26/11/2023 13:06:48,19 116107
26/11/2023 13:06:59,13 117188
26/11/2023 13:07:10,21 118402
26/11/2023 13:07:21,21 117820
26/11/2023 13:07:32,21 100227
26/11/2023 13:07:43,17 101917
26/11/2023 13:07:54,18 119775
26/11/2023 13:08:05,20 114870
26/11/2023 13:08:16,16 115522
26/11/2023 13:08:27,20 117201
26/11/2023 13:08:38,16 116835
26/11/2023 13:08:49,17 115228
26/11/2023 13:09:00,20 116687
26/11/2023 13:09:11,12 117934
26/11/2023 13:09:21,22 117650
26/11/2023 13:09:32,12 127853
26/11/2023 13:09:43,13 101651
26/11/2023 13:09:54,19 113795
26/11/2023 13:10:05,12 115798
26/11/2023 13:10:16,16 115394
26/11/2023 13:10:27,17 118640
26/11/2023 13:10:38,17 117685
26/11/2023 13:10:49,20 118939
26/11/2023 13:11:00,23 116505
26/11/2023 13:11:11,20 117387
26/11/2023 13:11:22,16 118564
26/11/2023 13:11:33,17 127259
26/11/2023 13:11:44,15 102394
26/11/2023 13:11:55,19 104094
26/11/2023 13:12:06,20 122135
26/11/2023 13:12:17,17 116812
26/11/2023 13:12:28,17 116826
26/11/2023 13:12:39,21 120127
26/11/2023 13:12:50,12 118612
26/11/2023 13:13:01,14 117222
26/11/2023 13:13:12,14 118280
26/11/2023 13:13:22,17 119328
26/11/2023 13:13:33,16 119472
26/11/2023 13:13:44,19 129913
26/11/2023 13:13:55,15 103602
26/11/2023 13:14:05,12 122271
26/11/2023 13:14:15,16 117325
26/11/2023 13:14:26,19 116948
26/11/2023 13:14:37,13 119731
26/11/2023 13:14:48,19 119855
26/11/2023 13:14:59,21 118925
26/11/2023 13:15:10,16 117442
26/11/2023 13:15:21,12 118552
26/11/2023 13:15:31,17 119578
26/11/2023 13:15:42,21 119730
26/11/2023 13:15:53,20 130763
26/11/2023 13:16:04,20 104470
26/11/2023 13:16:15,17 122930
26/11/2023 13:16:26,18 117818
26/11/2023 13:16:37,20 117474
26/11/2023 13:16:48,15 119326
26/11/2023 13:16:58,15 119437
26/11/2023 13:17:09,13 120457
26/11/2023 13:17:20,21 114884
26/11/2023 13:17:31,19 119566
26/11/2023 13:17:42,14 119540
26/11/2023 13:17:53,19 129014
26/11/2023 13:18:04,21 103436
26/11/2023 13:18:15,16 104484
26/11/2023 13:18:26,15 123125
26/11/2023 13:18:36,18 117996
26/11/2023 13:18:47,17 119016
26/11/2023 13:18:58,19 120516
26/11/2023 13:19:09,18 119487
26/11/2023 13:19:20,12 118359
26/11/2023 13:19:31,12 119323
