Inicio: 26/11/2023 16:15:09,49 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue-2.txt
26/11/2023 16:15:09,49 120258
26/11/2023 16:15:20,18 118958
26/11/2023 16:15:31,12 117360
26/11/2023 16:15:42,22 118031
26/11/2023 16:15:53,13 119357
26/11/2023 16:15:55,30 117865
26/11/2023 16:15:56,59 117717
26/11/2023 16:16:07,15 119277
26/11/2023 16:16:18,12 130022
26/11/2023 16:16:29,14 104119
26/11/2023 16:16:40,14 115688
26/11/2023 16:16:51,17 117578
26/11/2023 16:17:02,12 117194
26/11/2023 16:17:13,19 118990
26/11/2023 16:17:24,17 118945
26/11/2023 16:17:35,13 119839
26/11/2023 16:17:46,19 117494
26/11/2023 16:17:57,21 116936
26/11/2023 16:18:08,18 116868
26/11/2023 16:18:19,16 126724
26/11/2023 16:18:30,12 100759
26/11/2023 16:18:41,21 90617
26/11/2023 16:18:52,15 115000
26/11/2023 16:19:03,18 114592
26/11/2023 16:19:14,12 117382
26/11/2023 16:19:25,16 117484
26/11/2023 16:19:36,15 116422
26/11/2023 16:19:47,21 114773
26/11/2023 16:19:58,16 115566
26/11/2023 16:20:09,22 116789
26/11/2023 16:20:20,19 116781
26/11/2023 16:20:31,13 127501
26/11/2023 16:20:42,18 101247
26/11/2023 16:20:53,15 119441
26/11/2023 16:21:04,13 114183
26/11/2023 16:21:15,13 113947
26/11/2023 16:21:26,22 125823
26/11/2023 16:21:37,22 124721
26/11/2023 16:21:48,12 123112
26/11/2023 16:21:59,13 123567
26/11/2023 16:22:10,15 122508
26/11/2023 16:22:21,13 122412
26/11/2023 16:22:32,22 132490
26/11/2023 16:22:43,21 106135
26/11/2023 16:22:54,19 125258
26/11/2023 16:23:05,22 120088
26/11/2023 16:23:16,19 119662
26/11/2023 16:23:27,20 121301
26/11/2023 16:23:38,12 95144
26/11/2023 16:23:49,14 118240
26/11/2023 16:24:00,18 114975
26/11/2023 16:24:11,15 115965
26/11/2023 16:24:22,17 117131
26/11/2023 16:24:33,22 117131
26/11/2023 16:24:44,19 100609
26/11/2023 16:24:55,18 102155
26/11/2023 16:25:06,17 120605
26/11/2023 16:25:17,14 114843
26/11/2023 16:25:28,22 114823
26/11/2023 16:25:39,12 117107
26/11/2023 16:25:50,12 117876
26/11/2023 16:26:01,16 116772
26/11/2023 16:26:12,17 117065
26/11/2023 16:26:23,15 118304
26/11/2023 16:26:34,15 118273
26/11/2023 16:26:45,11 128870
26/11/2023 16:26:56,14 102576
26/11/2023 16:27:07,17 121614
26/11/2023 16:27:18,12 116321
26/11/2023 16:27:29,12 115941
26/11/2023 16:27:40,13 118788
26/11/2023 16:27:51,18 117515
26/11/2023 16:28:02,16 118777
26/11/2023 16:28:13,19 116447
26/11/2023 16:28:24,12 117458
26/11/2023 16:28:35,16 118638
26/11/2023 16:28:46,18 128364
26/11/2023 16:28:57,14 101486
26/11/2023 16:29:08,17 103070
26/11/2023 16:29:19,22 121093
26/11/2023 16:29:30,20 115663
26/11/2023 16:29:41,16 118873
26/11/2023 16:29:52,14 118443
26/11/2023 16:30:03,13 117515
26/11/2023 16:30:14,20 115953
26/11/2023 16:30:25,20 116777
26/11/2023 16:30:36,12 117915
26/11/2023 16:30:47,12 117923
26/11/2023 16:30:58,18 128713
26/11/2023 16:31:09,13 102700
26/11/2023 16:31:20,21 119476
26/11/2023 16:31:31,21 116114
26/11/2023 16:31:42,20 115710
26/11/2023 16:31:53,22 117238
26/11/2023 16:32:04,20 117419
26/11/2023 16:32:15,14 118459
26/11/2023 16:32:26,15 116215
26/11/2023 16:32:37,22 116861
26/11/2023 16:32:48,19 117989
26/11/2023 16:32:59,20 127651
26/11/2023 16:33:10,20 101313
26/11/2023 16:33:21,19 102483
26/11/2023 16:33:32,15 120364
26/11/2023 16:33:43,12 115716
26/11/2023 16:33:54,22 116684
26/11/2023 16:34:05,13 118160
26/11/2023 16:34:16,12 117114
26/11/2023 16:34:27,17 115616
26/11/2023 16:34:38,19 116346
26/11/2023 16:34:49,16 117494
26/11/2023 16:35:00,19 117601
26/11/2023 16:35:11,18 128471
26/11/2023 16:35:22,15 102550
26/11/2023 16:35:33,17 114116
26/11/2023 16:35:44,22 115738
26/11/2023 16:35:55,19 115358
26/11/2023 16:36:06,15 117794
26/11/2023 16:36:17,14 117985
26/11/2023 16:36:28,18 118808
26/11/2023 16:36:39,14 118927
26/11/2023 16:36:50,15 118343
26/11/2023 16:37:01,19 118373
26/11/2023 16:37:12,13 128213
26/11/2023 16:37:23,20 102336
26/11/2023 16:37:34,18 84382
26/11/2023 16:37:45,22 116840
26/11/2023 16:37:56,12 116104
26/11/2023 16:38:07,20 119196
26/11/2023 16:38:18,19 118899
26/11/2023 16:38:29,20 117805
26/11/2023 16:38:40,20 116336
26/11/2023 16:38:51,13 117022
26/11/2023 16:39:02,22 118224
26/11/2023 16:39:13,17 118188
26/11/2023 16:39:24,14 129114
26/11/2023 16:39:35,16 103169
26/11/2023 16:39:46,22 114558
26/11/2023 16:39:57,19 116052
26/11/2023 16:40:08,22 115820
26/11/2023 16:40:19,18 117702
26/11/2023 16:40:30,18 117833
26/11/2023 16:40:41,20 116308
26/11/2023 16:40:52,15 116796
26/11/2023 16:41:03,15 118253
26/11/2023 16:41:14,20 118263
26/11/2023 16:41:25,18 128363
26/11/2023 16:41:36,20 101841
26/11/2023 16:41:47,19 120769
26/11/2023 16:41:58,21 115779
26/11/2023 16:42:09,14 115355
26/11/2023 16:42:20,15 118161
26/11/2023 16:42:31,12 118290
26/11/2023 16:42:42,19 121216
26/11/2023 16:42:53,21 115714
26/11/2023 16:43:04,18 116328
26/11/2023 16:43:15,20 117471
26/11/2023 16:43:26,21 117470
26/11/2023 16:43:37,13 115918
26/11/2023 16:43:48,17 102603
26/11/2023 16:43:59,16 120932
26/11/2023 16:44:10,11 115278
26/11/2023 16:44:21,12 115230
26/11/2023 16:44:32,21 117398
26/11/2023 16:44:43,21 117259
26/11/2023 16:44:54,15 115658
26/11/2023 16:45:05,19 116302
26/11/2023 16:45:16,15 117662
26/11/2023 16:45:27,22 117658
26/11/2023 16:45:38,17 128076
26/11/2023 16:45:49,19 102254
26/11/2023 16:46:00,18 121360
26/11/2023 16:46:11,18 116074
26/11/2023 16:46:22,20 115597
26/11/2023 16:46:33,18 118373
26/11/2023 16:46:44,22 117077
26/11/2023 16:46:55,20 118355
26/11/2023 16:47:06,12 116175
26/11/2023 16:47:17,19 116910
26/11/2023 16:47:28,14 117860
26/11/2023 16:47:39,14 127713
26/11/2023 16:47:50,16 101550
26/11/2023 16:48:01,15 102990
26/11/2023 16:48:12,13 121095
26/11/2023 16:48:23,20 115716
26/11/2023 16:48:34,20 119331
26/11/2023 16:48:45,12 118661
26/11/2023 16:48:56,14 128374
26/11/2023 16:49:07,19 126213
26/11/2023 16:49:18,16 126893
26/11/2023 16:49:29,17 128097
26/11/2023 16:49:40,18 127936
26/11/2023 16:49:51,18 138591
26/11/2023 16:50:02,19 112746
26/11/2023 16:50:13,20 131635
26/11/2023 16:50:24,15 126297
26/11/2023 16:50:35,11 125877
26/11/2023 16:50:46,18 127392
26/11/2023 16:50:57,12 127566
26/11/2023 16:51:08,12 128717
26/11/2023 16:51:19,18 126460
26/11/2023 16:51:30,19 127150
26/11/2023 16:51:41,17 128302
26/11/2023 16:51:52,15 138154
26/11/2023 16:52:03,15 111602
26/11/2023 16:52:14,15 112813
26/11/2023 16:52:25,18 130572
26/11/2023 16:52:36,22 125696
26/11/2023 16:52:47,13 128371
26/11/2023 16:52:58,13 128113
26/11/2023 16:53:09,15 127080
26/11/2023 16:53:20,14 125591
26/11/2023 16:53:31,16 126288
26/11/2023 16:53:42,13 127480
26/11/2023 16:53:53,19 127468
26/11/2023 16:54:04,14 138212
26/11/2023 16:54:15,16 111874
26/11/2023 16:54:26,15 130476
26/11/2023 16:54:37,20 125039
26/11/2023 16:54:48,12 124723
26/11/2023 16:54:59,22 126487
26/11/2023 16:55:10,19 126669
26/11/2023 16:55:21,18 127577
26/11/2023 16:55:32,11 125702
26/11/2023 16:55:43,14 127120
26/11/2023 16:55:54,13 127059
26/11/2023 16:56:05,22 138260
26/11/2023 16:56:16,16 112416
26/11/2023 16:56:27,17 131839
26/11/2023 16:56:38,16 126533
26/11/2023 16:56:49,20 126126
26/11/2023 16:57:00,20 128877
26/11/2023 16:57:11,17 129009
