Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 14:13:49,29 161000
28/11/2023 14:14:00,16 165883
28/11/2023 14:14:11,22 165007
28/11/2023 14:14:22,22 165339
28/11/2023 14:14:33,13 143003
28/11/2023 14:14:43,18 122331
28/11/2023 14:14:54,19 182468
28/11/2023 14:15:05,21 224952
28/11/2023 14:15:16,20 225599
28/11/2023 14:15:27,15 164360
28/11/2023 14:15:38,15 165699
28/11/2023 14:15:49,15 151513
28/11/2023 14:16:00,21 166793
28/11/2023 14:16:11,15 128828
28/11/2023 14:16:22,16 170529
28/11/2023 14:16:33,17 169450
28/11/2023 14:16:44,15 141173
28/11/2023 14:16:55,15 134935
28/11/2023 14:17:06,17 189944
28/11/2023 14:17:17,12 189942
28/11/2023 14:17:28,17 185762
28/11/2023 14:17:39,22 183231
28/11/2023 14:17:50,11 182913
28/11/2023 14:18:01,17 182574
28/11/2023 14:18:12,15 180781
28/11/2023 14:18:23,15 172155
28/11/2023 14:18:34,13 171320
28/11/2023 14:18:45,21 171374
28/11/2023 14:18:56,16 171328
28/11/2023 14:19:07,18 171107
28/11/2023 14:19:18,20 170976
28/11/2023 14:19:29,12 171023
28/11/2023 14:19:40,19 171025
28/11/2023 14:19:51,16 170993
28/11/2023 14:20:02,18 170982
28/11/2023 14:20:13,15 170192
28/11/2023 14:20:24,21 172592
28/11/2023 14:20:35,16 171567
28/11/2023 14:20:46,14 171271
28/11/2023 14:20:57,19 171198
28/11/2023 14:21:08,15 146423
28/11/2023 14:21:19,20 126263
28/11/2023 14:21:30,20 184198
28/11/2023 14:21:41,20 226090
28/11/2023 14:21:52,15 227926
28/11/2023 14:22:03,17 227788
28/11/2023 14:22:14,19 163786
28/11/2023 14:22:25,13 147863
28/11/2023 14:22:35,19 168321
28/11/2023 14:22:46,12 122518
28/11/2023 14:22:57,17 161570
28/11/2023 14:23:08,16 161239
28/11/2023 14:23:19,21 163248
28/11/2023 14:23:30,16 132235
28/11/2023 14:23:41,19 184092
28/11/2023 14:23:52,19 185118
28/11/2023 14:24:03,17 181237
28/11/2023 14:24:14,20 179752
28/11/2023 14:24:25,20 176978
28/11/2023 14:24:36,18 177263
28/11/2023 14:24:47,15 177527
28/11/2023 14:24:58,21 168959
28/11/2023 14:25:09,18 167282
28/11/2023 14:25:20,18 166034
28/11/2023 14:25:31,12 166074
28/11/2023 14:25:42,17 166030
28/11/2023 14:25:53,15 166042
28/11/2023 14:26:04,21 166053
28/11/2023 14:26:15,17 165809
28/11/2023 14:26:26,13 164567
28/11/2023 14:26:37,14 164563
28/11/2023 14:26:48,17 164509
28/11/2023 14:26:59,15 163431
28/11/2023 14:27:10,18 165036
28/11/2023 14:27:21,18 164651
28/11/2023 14:27:32,20 164577
28/11/2023 14:27:43,21 164689
28/11/2023 14:27:54,20 137119
28/11/2023 14:28:05,16 173410
28/11/2023 14:28:16,12 173631
28/11/2023 14:28:27,12 216170
28/11/2023 14:28:38,12 216499
28/11/2023 14:28:49,20 156766
28/11/2023 14:29:00,13 147022
28/11/2023 14:29:11,21 174252
28/11/2023 14:29:22,12 124838
28/11/2023 14:29:33,14 164637
28/11/2023 14:29:44,20 164821
28/11/2023 14:29:55,20 166423
28/11/2023 14:30:06,20 135682
28/11/2023 14:30:17,17 186209
28/11/2023 14:30:28,21 187295
