Log de Memoria - Iniciado em: 19/11/2023 as 15:12:00,30 - Aplicativo monitorado: com.zhiliaoapp.musically - Intervalo entre logs: 1 segundos - Duracao do monitoramento: 5 minutos - Nome do arquivo de log: tiktok
19/11/2023 15:12:05,17 306182
19/11/2023 15:12:06,94 475430
19/11/2023 15:12:08,16 470880
19/11/2023 15:12:10,43 531308
19/11/2023 15:12:12,17 571540
19/11/2023 15:12:14,11 522504
19/11/2023 15:12:16,18 524025
19/11/2023 15:12:18,61 428079
19/11/2023 15:12:20,20 419689
19/11/2023 15:12:22,30 401495
19/11/2023 15:12:24,41 405693
19/11/2023 15:12:26,32 447106
19/11/2023 15:12:28,19 439388
19/11/2023 15:12:30,10 440750
19/11/2023 15:12:32,10 444579
19/11/2023 15:12:34,01 441860
19/11/2023 15:12:36,12 432888
19/11/2023 15:12:38,09 434214
19/11/2023 15:12:40,03 434793
19/11/2023 15:12:42,44 437520
19/11/2023 15:12:44,46 435040
19/11/2023 15:12:46,52 430856
19/11/2023 15:12:48,26 444014
19/11/2023 15:12:50,52 443335
19/11/2023 15:12:52,22 424724
19/11/2023 15:12:54,46 418024
19/11/2023 15:12:56,30 415245
19/11/2023 15:12:58,52 415184
19/11/2023 15:13:00,26 413169
19/11/2023 15:13:02,18 391827
19/11/2023 15:13:04,14 383417
19/11/2023 15:13:06,14 365061
19/11/2023 15:13:08,37 369955
19/11/2023 15:13:10,36 383613
19/11/2023 15:13:12,26 376303
19/11/2023 15:13:14,39 376353
19/11/2023 15:13:16,17 392506
19/11/2023 15:13:18,12 382688
19/11/2023 15:13:20,12 381446
19/11/2023 15:13:22,50 382814
19/11/2023 15:13:24,28 382519
19/11/2023 15:13:26,31 382220
19/11/2023 15:13:28,43 377878
19/11/2023 15:13:30,46 378981
19/11/2023 15:13:32,53 378247
19/11/2023 15:13:34,25 378759
19/11/2023 15:13:36,62 378886
19/11/2023 15:13:38,13 365346
19/11/2023 15:13:40,41 357986
19/11/2023 15:13:42,34 420340
19/11/2023 15:13:44,42 524706
19/11/2023 15:13:46,46 494044
19/11/2023 15:13:48,26 510417
19/11/2023 15:13:50,39 476090
19/11/2023 15:13:53,49 520201
19/11/2023 15:13:56,09 523744
19/11/2023 15:13:59,04 534414
19/11/2023 15:14:02,31 571432
19/11/2023 15:14:05,00 525836
19/11/2023 15:14:07,49 509112
19/11/2023 15:14:10,63 520296
19/11/2023 15:14:12,57 513799
19/11/2023 15:14:14,76 516976
19/11/2023 15:14:16,42 516154
19/11/2023 15:14:18,79 518445
19/11/2023 15:14:20,88 521892
19/11/2023 15:14:22,29 532370
19/11/2023 15:14:24,75 522879
19/11/2023 15:14:26,28 523149
19/11/2023 15:14:28,32 521891
19/11/2023 15:14:30,50 520252
19/11/2023 15:14:32,52 518269
19/11/2023 15:14:34,78 523505
19/11/2023 15:14:36,53 539844
19/11/2023 15:14:39,02 539258
19/11/2023 15:14:41,70 547447
19/11/2023 15:14:44,67 517899
19/11/2023 15:14:46,70 509157
19/11/2023 15:14:48,54 495606
19/11/2023 15:14:50,39 497324
19/11/2023 15:14:52,44 491975
19/11/2023 15:14:54,37 503066
19/11/2023 15:14:56,39 508925
19/11/2023 15:14:58,29 511097
19/11/2023 15:15:00,28 508600
19/11/2023 15:15:02,58 504762
19/11/2023 15:15:04,29 501497
19/11/2023 15:15:06,64 487620
19/11/2023 15:15:08,50 494199
19/11/2023 15:15:10,64 525939
19/11/2023 15:15:12,50 512976
19/11/2023 15:15:14,22 494961
19/11/2023 15:15:16,67 501205
19/11/2023 15:15:18,45 497830
19/11/2023 15:15:20,99 495776
19/11/2023 15:15:23,41 491488
19/11/2023 15:15:25,90 533162
19/11/2023 15:15:27,95 571729
19/11/2023 15:15:29,62 602331
19/11/2023 15:15:32,09 565111
19/11/2023 15:15:34,70 559823
19/11/2023 15:15:36,82 592931
19/11/2023 15:15:39,25 607108
19/11/2023 15:15:41,81 579965
19/11/2023 15:15:43,85 572599
19/11/2023 15:15:45,54 575199
19/11/2023 15:15:47,83 575309
19/11/2023 15:15:49,45 573750
19/11/2023 15:15:51,76 581207
19/11/2023 15:15:53,46 577886
19/11/2023 15:15:55,60 559055
19/11/2023 15:15:58,78 532124
19/11/2023 15:16:01,07 576050
19/11/2023 15:16:04,44 522632
19/11/2023 15:16:06,62 538892
19/11/2023 15:16:09,14 489942
19/11/2023 15:16:12,42 488318
19/11/2023 15:16:14,80 533282
19/11/2023 15:16:16,94 534785
19/11/2023 15:16:18,74 535231
19/11/2023 15:16:20,53 530085
19/11/2023 15:16:22,75 530978
19/11/2023 15:16:24,54 588931
19/11/2023 15:16:26,74 534870
19/11/2023 15:16:28,74 531370
19/11/2023 15:16:30,48 524323
19/11/2023 15:16:32,37 512705
19/11/2023 15:16:34,54 503818
19/11/2023 15:16:36,47 501678
19/11/2023 15:16:38,62 501361
19/11/2023 15:16:40,63 496535
19/11/2023 15:16:42,60 505048
19/11/2023 15:16:44,63 505381
19/11/2023 15:16:46,76 502984
19/11/2023 15:16:48,64 510883
19/11/2023 15:16:50,78 559788
19/11/2023 15:16:52,97 594634
19/11/2023 15:16:55,27 569903
19/11/2023 15:16:57,47 575353
19/11/2023 15:16:59,66 526138
