Inicio: 06/01/2024 12:52:09,89 - App: com.instagram.android - Intervalo: 1 seg - Duracao: 2 min - Log: teste.txt
06/01/2024 12:52:09,89 472343
06/01/2024 12:52:11,13 423102
06/01/2024 12:52:12,16 385698
06/01/2024 12:52:13,16 386852
06/01/2024 12:52:14,11 384121
06/01/2024 12:52:15,14 393280
06/01/2024 12:52:16,14 404822
06/01/2024 12:52:17,17 444134
06/01/2024 12:52:18,18 425871
06/01/2024 12:52:19,19 430275
06/01/2024 12:52:20,19 427178
06/01/2024 12:52:21,17 425124
06/01/2024 12:52:22,19 422369
06/01/2024 12:52:23,11 423802
06/01/2024 12:52:24,19 416627
06/01/2024 12:52:25,11 415361
06/01/2024 12:52:27,14 420085
06/01/2024 12:52:28,17 415163
06/01/2024 12:52:29,12 392320
06/01/2024 12:52:30,12 402364
06/01/2024 12:52:32,21 405623
06/01/2024 12:52:34,14 400022
06/01/2024 12:52:35,12 415894
06/01/2024 12:52:36,19 432961
06/01/2024 12:52:37,12 427450
06/01/2024 12:52:38,17 429134
06/01/2024 12:52:39,20 431017
06/01/2024 12:52:41,20 433235
06/01/2024 12:52:43,19 419493
06/01/2024 12:52:45,12 404576
06/01/2024 12:52:46,16 404345
06/01/2024 12:52:47,17 406926
06/01/2024 12:52:48,15 402975
06/01/2024 12:52:49,20 414351
06/01/2024 12:52:50,21 401469
06/01/2024 12:52:52,20 405175
06/01/2024 12:52:53,89 404900
06/01/2024 12:52:56,11 404019
06/01/2024 12:52:58,21 411249
06/01/2024 12:52:59,16 398924
06/01/2024 12:53:00,21 407147
06/01/2024 12:53:01,21 408019
06/01/2024 12:53:03,13 415174
06/01/2024 12:53:04,19 405259
06/01/2024 12:53:05,21 417865
06/01/2024 12:53:06,17 427174
06/01/2024 12:53:08,17 413401
06/01/2024 12:53:10,19 407996
06/01/2024 12:53:12,20 418332
06/01/2024 12:53:13,18 434974
06/01/2024 12:53:14,18 440402
06/01/2024 12:53:15,20 427398
06/01/2024 12:53:16,12 429567
06/01/2024 12:53:17,22 429094
06/01/2024 12:53:18,14 430621
06/01/2024 12:53:19,15 429663
06/01/2024 12:53:20,22 429796
06/01/2024 12:53:21,17 429004
06/01/2024 12:53:22,17 434936
06/01/2024 12:53:23,22 443263
06/01/2024 12:53:25,14 461234
06/01/2024 12:53:26,12 433307
06/01/2024 12:53:27,20 433180
06/01/2024 12:53:29,21 421731
06/01/2024 12:53:31,14 418734
06/01/2024 12:53:33,19 424772
06/01/2024 12:53:35,13 422598
06/01/2024 12:53:37,20 427379
06/01/2024 12:53:39,15 425486
06/01/2024 12:53:41,13 420441
06/01/2024 12:53:43,16 415299
06/01/2024 12:53:44,39 414975
06/01/2024 12:53:46,13 414660
06/01/2024 12:53:48,22 416967
06/01/2024 12:53:50,21 415213
06/01/2024 12:53:52,19 419875
06/01/2024 12:53:54,14 415027
06/01/2024 12:53:55,20 414996
06/01/2024 12:53:56,18 415436
06/01/2024 12:53:58,17 425185
